=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.04.09 16:10:48 =~=~=~=~=~=~=~=~=~=~=~=
Tem3,Setpoint:95.50,Temperature:46.44,Duty:100.00,
Time:0:0:5,Ideal:61.14,Setpoint:95.50,Temperature:63.16,Duty:100.00,
Time:0:0:6,Ideal:63.14,Setpoint:95.50,Temperature:63.30,Duty:100.00,
Time:0:0:6,Ideal:63.14,Setpoint:95.50,Temperature:63.47,Duty:100.00,
Time:0:0:6,Ideal:63.14,Setpoint:95.50,Temperature:63.60,Duty:100.00,
Time:0:0:6,Ideal:63.14,Setpoint:95.50,Temperature:63.78,Duty:100.00,
Time:0:0:6,Ideal:63.14,Setpoint:95.50,Temperature:63.95,Duty:100.00,
Time:0:0:6,Ideal:63.14,Setpoint:95.50,Temperature:64.08,Duty:100.00,
Time:0:0:6,Ideal:63.14,Setpoint:95.50,Temperature:64.22,Duty:100.00,
Time:0:0:6,Ideal:63.14,Setpoint:95.50,Temperature:64.39,Duty:100.00,
Time:0:0:6,Ideal:63.14,Setpoint:95.50,Temperature:64.53,Duty:100.00,
Time:0:0:6,Ideal:63.14,Setpoint:95.50,Temperature:64.67,Duty:100.00,
Time:0:0:6,Ideal:63.14,Setpoint:95.50,Temperature:64.84,Duty:100.00,
Time:0:0:7,Ideal:65.14,Setpoint:95.50,Temperature:65.01,Duty:100.00,
Time:0:0:7,Ideal:65.14,Setpoint:95.50,Temperature:65.14,Duty:100.00,
Time:0:0:7,Ideal:65.14,Setpoint:95.50,Temperature:65.28,Duty:100.00,
Time:0:0:7,Ideal:65.14,Setpoint:95.50,Temperature:65.42,Duty:100.00,
Time:0:0:7,Ideal:65.14,Setpoint:95.50,Temperature:65.56,Duty:100.00,
Time:0:0:7,Ideal:65.14,Setpoint:95.50,Temperature:65.73,Duty:100.00,
Time:0:0:7,Ideal:65.14,Setpoint:95.50,Temperature:65.83,Duty:100.00,
Time:0:0:7,Ideal:65.14,Setpoint:95.50,Temperature:66.00,Duty:100.00,
Time:0:0:7,Ideal:65.14,Setpoint:95.50,Temperature:66.14,Duty:100.00,
